Measurements,Values
file_name,im12.jpg
k,8000
Input labels,female; indoor; people; portrait
Processing time (secs),2.251
Searching time (secs),0.363
Correct images,3484
Correct images in DB,8574
Precision@K,0.435
Recall@K,0.406
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.684
