Measurements,Values
file_name,im301.jpg
k,500
Input labels,indoor; male; people; portrait
Processing time (secs),3.258
Searching time (secs),0.056
Correct images,130
Correct images in DB,9187
Precision@K,0.26
Recall@K,0.014
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.289
