Measurements,Values
file_name,im301.jpg
k,8000
Input labels,indoor; male; people; portrait
Processing time (secs),3.128
Searching time (secs),0.418
Correct images,1966
Correct images in DB,9187
Precision@K,0.246
Recall@K,0.214
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.229
