Measurements,Values
file_name,im24979.jpg
k,4000
Input labels,female; male; night; people; plant_life; structures; transport; tree
Processing time (secs),3.238
Searching time (secs),0.286
Correct images,1240
Correct images in DB,4156
Precision@K,0.31
Recall@K,0.298
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.413
