Measurements,Values
file_name,im46.jpg
k,8000
Input labels,people
Processing time (secs),2.993
Searching time (secs),0.418
Correct images,3505
Correct images in DB,10377
Precision@K,0.438
Recall@K,0.338
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.503
