Measurements,Values
file_name,im15005.jpg
k,4000
Input labels,clouds; night; sky; structures; sunset
Processing time (secs),3.267
Searching time (secs),0.299
Correct images,2139
Correct images in DB,3769
Precision@K,0.535
Recall@K,0.568
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.761
