Measurements,Values
file_name,im46.jpg
k,500
Input labels,people
Processing time (secs),3.015
Searching time (secs),0.043
Correct images,285
Correct images in DB,10377
Precision@K,0.57
Recall@K,0.027
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.637
