Measurements,Values
file_name,im10125.jpg
k,4000
Input labels,female; male; people; plant_life; sky; sunset; tree
Processing time (secs),2.223
Searching time (secs),0.179
Correct images,1302
Correct images in DB,3155
Precision@K,0.326
Recall@K,0.413
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.478
