Measurements,Values
k,1000
Input labels,baby; female; people; portrait
Processing time (secs),3.877
Searching time (secs),0.065
Correct images,12
Correct images in DB,27
Precision,0.012
Recall,0.444
Reciprocal Rank (RR),0.5
Average Precision@K (AP@K),0.202
