Measurements,Values
k,500
Input labels,flower; plant_life
Processing time (secs),3.683
Searching time (secs),0.143
Correct images,476
Correct images in DB,8763
Precision@K,0.952
Recall@K,0.054
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.929
