Measurements,Values
k,10000
Input labels,people
Processing time (secs),3.193
Searching time (secs),0.605
Correct images,4272
Correct images in DB,10377
Precision@K,0.427
Recall@K,0.412
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.489
