"rank","index","po_annotation","re_annotation","match_annotation"
1,"im14942.jpg","indoor","","indoor"
2,"im18827.jpg","indoor","","indoor"
3,"im16135.jpg","indoor","","indoor"
4,"im9973.jpg","indoor","","indoor"
5,"im21185.jpg","animals; indoor","","indoor"
6,"im3049.jpg","indoor","","indoor"
7,"im13586.jpg","indoor","","indoor"
8,"im4210.jpg","","",""
9,"im10619.jpg","animals; indoor","","indoor"
10,"im16050.jpg","indoor","","indoor"
