Measurements,Values
k,1000
Input labels,male; people
Processing time (secs),3.529
Searching time (secs),0.089
Correct images,245
Correct images in DB,3593
Precision,0.245
Recall,0.068
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.337
