Measurements,Values
k,10000
Input labels,flower; plant_life
Processing time (secs),3.177
Searching time (secs),0.894
Correct images,4461
Correct images in DB,8763
Precision@K,0.446
Recall@K,0.509
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.662
