Measurements,Values
k,500
Input labels,plant_life; river; tree; water
Processing time (secs),3.381
Searching time (secs),0.06
Correct images,180
Correct images in DB,5513
Precision@K,0.36
Recall@K,0.033
Reciprocal Rank (RR),0.5
Average Precision@K (AP@K),0.12
