Measurements,Values
k,10
Input labels,clouds; lake; sky; water
Processing time (secs),3.194
Searching time (secs),0.033
Correct images,6
Correct images in DB,4779
Precision@K,0.6
Recall@K,0.001
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.875
