Measurements,Values
k,10
Input labels,plant_life; river; tree; water
Processing time (secs),3.17
Searching time (secs),0.013
Correct images,7
Correct images in DB,5513
Precision@K,0.7
Recall@K,0.001
Reciprocal Rank (RR),0.25
Average Precision@K (AP@K),0.25
