Measurements,Values
k,500
Input labels,people
Processing time (secs),3.513
Searching time (secs),0.054
Correct images,285
Correct images in DB,10377
Precision@K,0.57
Recall@K,0.027
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.637
