Measurements,Values
k,10000
Input labels,plant_life; river; tree; water
Processing time (secs),3.183
Searching time (secs),0.694
Correct images,2642
Correct images in DB,5513
Precision@K,0.264
Recall@K,0.479
Reciprocal Rank (RR),0.5
Average Precision@K (AP@K),0.083
