Measurements,Values
k,10000
Input labels,clouds; sea; sky; transport; water
Processing time (secs),4.043
Searching time (secs),0.962
Correct images,1414
Correct images in DB,2234
Precision@K,0.141
Recall@K,0.633
Reciprocal Rank (RR),1.0
Average Precision@K (AP@K),0.055
