Measurements,Values
k,10
Input labels,clouds; people; plant_life; sky; structures; tree
Processing time (secs),3.564
Searching time (secs),0.008
Correct images,9
Correct images in DB,7152
Precision@K,0.9
Recall@K,0.001
Reciprocal Rank (RR),0
Average Precision@K (AP@K),0
